unk,1
说,2
的,3
技师,4
车主,5
了,6
是,7
有,8
我,9
这个,10
就,11
问题,12
不,13
吗,14
可以,15
你,16
没有,17
在,18
语音,19
也,20
你好,21
都,22
故障,23
需要,24
一下,25
检查,26
发动机,27
什么,28
更换,29
就是,30
换,31
会,32
正常,33
图片,34
和,35
情况,36
如果,37
车,38
机油,39
没,40
用,41
那,42
还是,43
好,44
去,45
要,46
说好,47
看,48
您,49
吧,50
这种,51
谢谢,52
把,53
到,54
电脑,55
对,56
一个,57
这,58
建议,59
的话,60
现在,61
时候,62
传感器,63
不会,64
可能,65
变速箱,66
声音,67
检查一下,68
应该,69
清洗,70
过,71
有没有,72
出现,73
是否,74
后,75
怎么,76
啊,77
上,78
还有,79
下,80
节气门,81
嗯,82
能,83
是不是,84
或者,85
启动,86
呢,87
影响,88
一般,89
不是,90
多少,91
车子,92
还,93
4s店,94
码,95
看看,96
大,97
车辆,98
跑,99
那个,100
左右,101
油,102
给,103
做,104
公里,105
火花塞,106
然后,107
这样,108
很,109
再,110
位置,111
师傅,112
原因,113
请问,114
哦,115
但是,116
比较,117
保养,118
一样,119
线路,120
感觉,121
行驶,122
维修,123
先,124
知道,125
导致,126
时,127
里面,128
年,129
才,130
开,131
大众,132
轮胎,133
又,134
不好,135
电瓶,136
根据,137
您好,138
压力,139
怠速,140
开关,141
刹车,142
使用,143
修理厂,144
他,145
不能,146
拆,147
客气,148
点火,149
多,150
-,151
坏,152
造成,153
抖动,154
检测,155
系统,156
着,157
个,158
新,159
汽油,160
地方,161
汽车,162
钥匙,163
款,164
钱,165
大师,166
灯,167
大概,168
显示,169
不行,170
空调,171
熄火,172
进行,173
两个,174
以后,175
插头,176
缸,177
匹配,178
喷油嘴,179
万公里,180
出来,181
控制,182
现象,183
直接,184
档,185
高,186
解决,187
关系,188
找,189
得,190
买,191
上面,192
打开,193
试试,194
想,195
一点,196
工作,197
跟,198
等,199
自己,200
线,201
2,202
其他,203
一直,204
哪里,205
因为,206
奥迪,207
主要,208
处理,209
离合器,210
加,211
水温,212
肯定,213
加油,214
异响,215
起来,216
具体,217
让,218
之前,219
宝马,220
从,221
踩,222
一次,223
损坏,224
不用,225
皮带,226
挂,227
有点,228
3,229
气门,230
仪表,231
方向盘,232
油耗,233
螺丝,234
转,235
来,236
不了,237
1,238
模块,239
时间,240
最好,241
自动,242
之后,243
积碳,244
怎么回事,245
只有,246
东西,247
么,248
只能,249
没事,250
主说,251
打,252
他们,253
所以,254
响,255
描述,256
转速,257
价格,258
防冻液,259
原厂,260
重新,261
油门,262
问,263
亮,264
数据,265
方向,266
安装,267
5,268
4s,269
别克,270
确定,271
进气,272
信号,273
但,274
正时,275
底盘,276
空气,277
今天,278
只要,279
线圈,280
这款,281
拆下来,282
中,283
高速,284
水箱,285
发现,286
后面,287
保险,288
小,289
一,290
它,291
以前,292
冷车,293
点,294
说换,295
下面,296
已经,297
动力,298
定位,299
新车,300
按,301
4,302
磨损,303
凸轮轴,304
测量,305
油泵,306
刹车片,307
不要,308
门,309
出,310
修,311
三元催化,312
本田,313
电机,314
轴承,315
保险丝,316
哪个,317
氧,318
读取,319
温度,320
电磁阀,321
呀,322
店,323
明显,324
离合,325
曲轴,326
意思,327
为,328
不到,329
滤芯,330
助力,331
只是,332
内部,333
燃油,334
继电器,335
外面,336
明天,337
或,338
泵,339
这些,340
这是,341
电压,342
车身,343
间隙,344
前,345
丰田,346
漏气,347
大灯,348
我们,349
质量,350
严重,351
好像,352
走,353
现代,354
导航,355
容易,356
而且,357
配件,358
与,359
转向,360
分析,361
烧,362
太,363
像,364
漏油,365
首先,366
车门,367
风扇,368
才能,369
特别,370
那么,371
引起,372
加速,373
哒,374
玻璃,375
正,376
听,377
10,378
里,379
6,380
哪,381
反应,382
麻烦,383
奔驰,384
解答,385
长安,386
电子,387
完,388
月,389
本身,390
马达,391
热车,392
别的,393
原车,394
低,395
合成,396
内,397
办法,398
挡,399
起步,400
一定,401
重点,402
abs,403
手动,404
发电机,405
比亚迪,406
刚,407
修复,408
总成,409
说用,410
为什么,411
咨询,412
号,413
费用,414
变速器,415
四轮,416
存在,417
行车,418
电,419
车型,420
加装,421
发出,422
必要,423
有时候,424
属于,425
被,426
前面,427
链条,428
很多,429
帮,430
防盗,431
喷漆,432
12,433
无法,434
调整,435
专用,436
福特,437
排气管,438
数据流,439
压,440
说明,441
突然,442
开始,443
温器,444
功能,445
查,446
减震器,447
考虑,448
比,449
最近,450
连接,451
雪佛兰,452
档位,453
通过,454
另外,455
型号,456
必须,457
灯亮,458
15,459
调,460
啥,461
方面,462
起亚,463
16,464
看到,465
变形,466
响声,467
人,468
请,469
诊断,470
装,471
几天,472
一些,473
调节,474
下来,475
这么,476
日产,477
有时,478
开车,479
报,480
一会,481
速度,482
驾驶,483
关闭,484
刹车油,485
弄,486
代码,487
堵塞,488
判断,489
仪表盘,490
提示,491
报警,492
垫,493
暖风,494
20,495
电脑板,496
只,497
早上,498
说会,499
排气,500
元,501
注意,502
怎么办,503
拉,504
效果,505
同时,506
抖,507
估计,508
减震,509
掉,510
打不着,511
标致,512
倒车,513
打火,514
几个,515
修车,516
就行了,517
固定,518
前轮,519
那里,520
全,521
换挡,522
噪音,523
品牌,524
该,525
最,526
左,527
打着,528
方向机,529
啦,530
怎么样,531
停车,532
很大,533
相关,534
放心,535
目前,536
放,537
方法,538
节,539
关注,540
质保,541
试一下,542
排除,543
网上,544
高兴,545
不亮,546
30,547
大修,548
购买,549
复位,550
联系,551
踩油门,552
马自达,553
升,554
要是,555
觉得,556
灯泡,557
锁,558
解码器,559
洗,560
那种,561
选择,562
毛病,563
版,564
测试,565
哈弗,566
发动,567
设置,568
不足,569
轻微,570
倒,571
长,572
建议您,573
吉利,574
单独,575
以及,576
涡轮,577
胎压,578
到底,579
嘛,580
火,581
快,582
机,583
带,584
任何,585
状态,586
这车,587
拿,588
循环,589
胶套,590
13,591
用车,592
踏板,593
如何,594
积炭,595
差不多,596
进去,597
顿挫,598
一起,599
清楚,600
40,601
找到,602
异常,603
可能性,604
系,605
油路,606
自动挡,607
7,608
不过,609
不好意思,610
插,611
原来,612
以上,613
改装,614
全部,615
碳,616
由于,617
这里,618
干净,619
松动,620
搭,621
漏,622
基本,623
器,624
昨天,625
14,626
老化,627
手刹,628
气囊,629
专业,630
拆开,631
随时,632
中间,633
水,634
燃烧,635
水泵,636
东风,637
厉害,638
明白,639
老师,640
叫,641
压缩机,642
修理店,643
清除,644
主,645
操作,646
油压,647
nan,648
电源,649
部位,650
高压,651
免费,652
一年,653
电池,654
度,655
照片,656
d,657
车速,658
缸盖,659
发,660
有个,661
科鲁兹,662
荣威,663
后备箱,664
11,665
一段时间,666
不同,667
100,668
修理,669
小时,670
喇叭,671
更,672
2000,673
升级,674
就要,675
进,676
每次,677
贵,678
观察,679
四个,680
部件,681
管,682
并,683
刚才,684
多久,685
怎样,686
油箱,687
动平衡,688
试车,689
厂家,690
右,691
拍,692
线束,693
图,694
偶尔,695
偏,696
后轮,697
动,698
宝骏,699
油封,700
低速,701
遥控器,702
球头,703
停,704
气缸,705
轮毂,706
懂,707
刮,708
万,709
半轴,710
少,711
一根,712
五菱,713
完全,714
之间,715
s,716
当时,717
接,718
清理,719
数,720
没什么,721
8,722
喷油,723
三个,724
改,725
轮,726
不够,727
听到,728
换个,729
推荐,730
拆掉,731
保险杠,732
刚刚,733
喷,734
将,735
盖,736
热,737
奇瑞,738
过程,739
学习,740
断电,741
进入,742
确认,743
事故,744
经常,745
遥控,746
超过,747
刹车盘,748
拉杆,749
担心,750
拔,751
回答,752
量,753
产生,754
后来,755
变化,756
这边,757
颜色,758
座椅,759
p,760
不错,761
冬天,762
95,763
不响,764
大约,765
包括,766
要求,767
帕萨特,768
车上,769
断,770
继续,771
上次,772
是因为,773
手动挡,774
速腾,775
电路,776
检修,777
英朗,778
福克斯,779
平时,780
说车,781
单元,782
测,783
四,784
怀疑,785
试,786
无,787
进口,788
向,789
钣,790
失火,791
几次,792
路,793
短路,794
怕,795
店里,796
提速,797
半,798
下车,799
程序,800
稳定,801
作用,802
牌子,803
拔掉,804
非常,805
确实,806
右边,807
3000,808
遇到,809
朋友,810
性能,811
迈腾,812
稍微,813
雪铁龙,814
进气道,815
副,816
排量,817
水管,818
机滤,819
读,820
供电,821
分泵,822
添加,823
负极,824
17,825
可是,826
按键,827
转动,828
行,829
发生,830
美孚,831
嘉实多,832
还要,833
增压,834
不管,835
悬挂,836
最后,837
修好,838
雅阁,839
捷达,840
天窗,841
200,842
来说,843
金,844
按照,845
可,846
有些,847
模式,848
挂挡,849
除了,850
润滑,851
增加,852
气阀,853
1000,854
安全,855
刚换,856
废,857
片,858
记号,859
朗逸,860
齿轮,861
愉快,862
左边,863
所有,864
电阻,865
上去,866
堵,867
声,868
当地,869
排,870
及时,871
没用,872
进气管,873
其它,874
5000,875
事,876
松,877
感谢,878
里程,879
没换,880
能够,881
宝来,882
支架,883
回,884
急,885
高温,886
起动,887
拆卸,888
消失,889
下降,890
09,891
不用谢,892
及,893
慢慢,894
漆,895
按钮,896
过来,897
回复,898
没电,899
原地,900
分钟,901
300,902
密封,903
搞,904
合适,905
便宜,906
天气,907
顶,908
撞,909
管子,910
比如,911
起,912
副驾驶,913
前后,914
鼓风机,915
漏水,916
电话,917
卖,918
混合气,919
支持,920
整个,921
达到,922
冷却液,923
缺缸,924
冷,925
接触,926
哪些,927
阀体,928
打滑,929
18,930
谢谢您,931
两根,932
凯越,933
摩擦,934
级,935
80,936
机械,937
到位,938
底壳,939
臂,940
燃烧室,941
点击,942
工具,943
跳,944
挺,945
粘度,946
手机,947
专用工具,948
祝您,949
空挡,950
冒,951
阀,952
一键,953
之类,954
视频,955
无力,956
92,957
希望,958
告诉,959
长城,960
提供,961
后期,962
一体,963
吹,964
一缸,965
接触不良,966
共振,967
总泵,968
雷达,969
分离,970
经典,971
进水,972
震动,973
即可,974
充电,975
方便,976
回来,977
室盖,978
差,979
开着,980
那些,981
卡,982
两,983
五,984
脏,985
晚上,986
盖子,987
感,988
卡罗,989
护板,990
简单,991
找个,992
老,993
解决问题,994
运转,995
设备,996
慢,997
拆装,998
